taxonID	vernacularName	language	countryCode	locality	source
6848881	Sabine's Gull				Banks, R. C., R. W. McDiarmid, and A. L. Gardner. 1987. Checklist of Vertebrates of the United States, the U.S. Territories, and Canada. Resource Publication, no. 166.
6848883	Saunders's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848843	Slaty-backed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848843	Slaty-backed Gull	English			2005. website, AOU Check-List (07-2005).
6848843	Slaty-backed Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6868216	Red-billed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848885	Andean Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848847	Thayer's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848847	Thayer's Gull	English			2005. website, AOU Check-List (07-2005).
6848847	Thayer's Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848847	Thayer's Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848847	goéland de Thayer	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848847	goéland de Thayer	French			2005. website, AOU Check-List (07-2005).
6848847	goéland de Thayer	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848847	goéland de Thayer	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848847	Gaviota de Thayer	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848847	Gaviota de Thayer	Spanish			2005. website, AOU Check-List (07-2005).
6848847	Gaviota de Thayer	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848847	Gaviota de Thayer	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848886	Black-legged Kittiwake				Banks, R. C., R. W. McDiarmid, and A. L. Gardner. 1987. Checklist of Vertebrates of the United States, the U.S. Territories, and Canada. Resource Publication, no. 166.
